INSTITUTION_ID,GROUP_CODE,GROUP_NAME,ENTITY_CD,ENTITY_NAME
"800000055179",5,"Public School District","021601040000","FRIENDSHIP CSD"
"800000055167",5,"Public School District","022001040000","FILLMORE CSD"
"800000055156",5,"Public School District","022101040000","WHITESVILLE CSD"
"800000055145",5,"Public School District","022302040000","CUBA-RUSHFORD CSD"
"800000055799",5,"Public School District","022401040000","SCIO CSD"
"800000055800",5,"Public School District","022601060000","WELLSVILLE CSD"
"800000055126",5,"Public School District","022902040000","BOLIVAR-RICHBURG CSD"
"800000055102",5,"Public School District","030101060000","CHENANGO FORKS CSD"
"800000055103",5,"Public School District","030200010000","BINGHAMTON CITY SD"
"800000054990",5,"Public School District","030201080000","SOUTH MOUNTAIN-HICKORY COMN SD AT BI"
"800000054991",5,"Public School District","030501040000","HARPURSVILLE CSD"
"800000055000",5,"Public School District","030601060000","SUSQUEHANNA VALLEY CSD"
"800000054967",5,"Public School District","030701060000","CHENANGO VALLEY CSD"
"800000054962",5,"Public School District","031101060000","MAINE-ENDWELL CSD"
"800000054954",5,"Public School District","031301040000","DEPOSIT CSD"
"800000054925",5,"Public School District","031401060000","WHITNEY POINT CSD"
"800000054912",5,"Public School District","031501060000","UNION-ENDICOTT CSD"
"800000054903",5,"Public School District","031502060000","JOHNSON CITY CSD"
"800000054880",5,"Public School District","031601060000","VESTAL CSD"
"800000054848",5,"Public School District","031701060000","WINDSOR CSD"
"800000054835",5,"Public School District","040204040000","WEST VALLEY CSD"
"800000054808",5,"Public School District","040302060000","ALLEGANY-LIMESTONE CSD"
"800000054788",5,"Public School District","040901040000","ELLICOTTVILLE CSD"
"800000054780",5,"Public School District","041101040000","FRANKLINVILLE CSD"
"800000054770",5,"Public School District","041401040000","HINSDALE CSD"
"800000054755",5,"Public School District","042302040000","CATTARAUGUS-LITTLE VALLEY CSD"
"800000054734",5,"Public School District","042400010000","OLEAN CITY SD"
"800000054679",5,"Public School District","042801060000","GOWANDA CSD"
"800000054689",5,"Public School District","042901040000","PORTVILLE CSD"
"800000054668",5,"Public School District","043001040000","RANDOLPH CSD"
"800000054654",5,"Public School District","043011020000","RANDOLPH ACAD UFSD"
"800000054637",5,"Public School District","043200050000","SALAMANCA CITY SD"
"800000054634",5,"Public School District","043501060000","YORKSHIRE-PIONEER CSD"
"800000054614",5,"Public School District","050100010000","AUBURN CITY SD"
"800000054541",5,"Public School District","050301040000","WEEDSPORT CSD"
"800000054544",5,"Public School District","050401040000","CATO-MERIDIAN CSD"
"800000054518",5,"Public School District","050701040000","SOUTHERN CAYUGA CSD"
"800000054525",5,"Public School District","051101040000","PORT BYRON CSD"
"800000054473",5,"Public School District","051301040000","MORAVIA CSD"
"800000054503",5,"Public School District","051901040000","UNION SPRINGS CSD"
"800000054457",5,"Public School District","060201060000","SOUTHWESTERN CSD AT JAMESTOWN"
"800000054468",5,"Public School District","060301040000","FREWSBURG CSD"
"800000054436",5,"Public School District","060401040000","CASSADAGA VALLEY CSD"
"800000054415",5,"Public School District","060503040000","CHAUTAUQUA LAKE CSD"
"800000054382",5,"Public School District","060601040000","PINE VALLEY CSD (SOUTH DAYTON)"
"800000054363",5,"Public School District","060701040000","CLYMER CSD"
"800000054353",5,"Public School District","060800010000","DUNKIRK CITY SD"
"800000054314",5,"Public School District","061001040000","BEMUS POINT CSD"
"800000054292",5,"Public School District","061101040000","FALCONER CSD"
"800000054301",5,"Public School District","061501040000","SILVER CREEK CSD"
"800000054269",5,"Public School District","061503040000","FORESTVILLE CSD"
"800000054276",5,"Public School District","061601040000","PANAMA CSD"
"800000054265",5,"Public School District","061700010000","JAMESTOWN CITY SD"
"800000054175",5,"Public School District","062201060000","FREDONIA CSD"
"800000054155",5,"Public School District","062301040000","BROCTON CSD"
"800000054162",5,"Public School District","062401040000","RIPLEY CSD"
"800000054166",5,"Public School District","062601040000","SHERMAN CSD"
"800000054139",5,"Public School District","062901040000","WESTFIELD CSD"
"800000054148",5,"Public School District","070600010000","ELMIRA CITY SD"
"800000054075",5,"Public School District","070901060000","HORSEHEADS CSD"
"800000054045",5,"Public School District","070902060000","ELMIRA HEIGHTS CSD"
"800000054009",5,"Public School District","080101040000","AFTON CSD"
"800000054036",5,"Public School District","080201040000","BAINBRIDGE-GUILFORD CSD"
